name,count,mean,median,max,p90,p95,p99
act:calc,29,0.1141,0.1156,0.2032,0.1954,0.1994,0.2024
act:generate,50,0.0125,0.0123,0.0289,0.0175,0.0208,0.0272
act:memory_get,11,0.0004,0.0003,0.0012,0.0005,0.0008,0.0011
act:search,26,0.1639,0.1605,0.2451,0.2421,0.2437,0.2449
planner:next_action,63,0.0004,0.0004,0.0012,0.0007,0.0009,0.001
tool:async_sleep,4,0.0227,0.0223,0.0315,0.0311,0.0313,0.0315
tool:calc,29,0.1122,0.113,0.2006,0.1939,0.1977,0.2
tool:flaky_add,112,0.0,0.0,0.0001,0.0,0.0,0.0001
tool:no_op,2000,0.0,0.0,0.001,0.0,0.0,0.0003
tool:search,26,0.1621,0.1596,0.2427,0.24,0.2415,0.2424
